name,information,address,price,owner,house_type,in_pledge,construction_year,ceiling_height,area,room_count,floor_count,floor ,district,url,lat,lon
2-комнатная квартира · 70.38 м²,"жил. комплекс MOD Ultra, 17 этажей, 2026 г.п., потолки 3м., санузел 2 с/у и более, Разрешение от МИО (Местный исполнительный орган). Выдано застройщику ТОО «Nova City Development» и уполномоченной компании ТОО «Туран Сити»",Хусейн бен Талал 37,73406340.0,Новостройка,монолитный дом,False,2026,3.0,70.38,2.0,11.0,17.0,Есильский р-н,https://krisha.kz/a/show/1005837203?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=hot_block_filter&srchpos=1,51.078989380451,71.429688367274
2-комнатная квартира · 65.97 м²,"жил. комплекс GreenLine. Garden, 16 этажей, 2026 г.п., потолки 3м., санузел совмещенный, GreenLine. Garden - это жилой комплекс бизнес класса, который сочетает в себе стильную архитектуру, высокий уровень комфорта и продуманно…",Е-899 7,57657780.0,Новостройка,монолитный дом,False,2026,3.0,65.97,2.0,13.0,16.0,Нура р-н,https://krisha.kz/a/show/761098327?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=hot_block_filter&srchpos=2,51.137714124595,71.390933237212
2-комнатная квартира · 48.02 м²,"жил. комплекс UIA.DARYN, 17 этажей, 2026 г.п., потолки 2.65м., санузел совмещенный, DARYN — кластер, созданный для роста, познания и развития. Это место, в котором поддерживается стремление к знаниям, исследованию и движению вперёд. Здесь появляются возможности для личного и се…",Улы Дала 14,36879360.0,Новостройка,монолитный дом,False,2026,2.65,48.02,2.0,13.0,17.0,Нура р-н,https://krisha.kz/a/show/1008911410?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=hot_block_filter&srchpos=3,51.103020469176,71.360115867698
1-комнатная квартира · 27.4 м²,"жил. комплекс Астана, 3 этажа, 2022 г.п., потолки 2.7м., санузел совмещенный, Ключи выдаем в поставленные сроки!В Наших домах живет более 3000 семей!Миссия нашей компании обеспечить как можно больше семей собственным жильем.Малоэтажный жил…",мкр Уркер Укили Ыбырай 15,7946000.0,Новостройка,кирпичный дом,False,2022,2.7,27.4,1.0,3.0,3.0,Нура р-н,https://krisha.kz/a/show/48623111?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=1,51.124012629892,71.254792716355
3-комнатная квартира · 87 м² · 6/10 этаж,"жил. комплекс Нур Канат, монолитный дом, 2012 г.п., потолки 3м., санузел 2 с/у и более, меблирована частично, Евро-3 с видом на Президентский парк | ЖК «Нурханат», Астана Квартира, в которой чувствуешь пространство и статус с первых минут. ✨ Евро-3 планировка — просторная гостиная с кухней 32 м² —…",А. Бокейханова 8,48000000.0,Риелтор,монолитный дом,False,2012,3.0,87.0,3.0,10.0,6.0,Есильский р-н,https://krisha.kz/a/show/1008684541?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=2,51.115185529939,71.439173623512
3-комнатная квартира · 98.97 м²,"жил. комплекс Sardar Compass, 17 этажей, 2025 г.п., потолки 3м., санузел раздельный, Sardar Compass — не просто дом. Это пространство, в которое хочется вписать свою историю.Преимущества:",,45526200.0,Новостройка,кирпичный дом,False,2025,3.0,98.97,3.0,10.0,17.0,Сарайшык р-н,https://krisha.kz/a/show/1000482772?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=3,51.106052945073,71.531496161847
4-комнатная квартира · 116.8 м²,"жил. комплекс Delta, 12 этажей, 2025 г.п., потолки 3м., санузел совмещенный, ЖК Delta – элегантный проект с актуальной концепцией доступного современного жилья. Комплекс состоит из 6 кварталов, выстроенных в линейном ритме, и органично включе…",Молдагалиева,70664000.0,Новостройка,монолитный дом,False,2025,3.0,116.8,4.0,11.0,12.0,Нура р-н,https://krisha.kz/a/show/689252925?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=4,51.126301222608,71.363819425244
1-комнатная квартира · 41.5 м²,"жил. комплекс KHAN RESIDENCE, 16 этажей, 2024 г.п., потолки 2.8м., санузел совмещенный, Жилой комплекс состоит из 2 очередей. 1 очередь достроилась в 1 квартале 2024 года. Сейчас строится 2 очередь - срок сдачи декабрь 2025 года",Н. Тлендиева 52,13072500.0,Новостройка,монолитный дом,False,2024,2.8,41.5,1.0,16.0,16.0,Сарыарка р-н,https://krisha.kz/a/show/694458130?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=5,51.19451002494,71.323633192806
3-комнатная квартира · 73 м² · 12/14 этаж,"жил. комплекс Auez, монолитный дом, 2026 г.п., состояние: требует ремонта, потолки 3м., санузел 2 с/у и более, без мебели, Продам 3 ком квартиру в ЖК ""Аuez "" ключ 🔑 в Май 2026 вручение",Сагадат Нурмагамбетов 17,45500000.0,Хозяин недвижимости,монолитный дом,False,2026,3.0,73.0,3.0,14.0,12.0,Алматы р-н,https://krisha.kz/a/show/1008842276?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=6,51.113877909608,71.481329798644
2-комнатная квартира · 54.21 м²,"жил. комплекс Baizaman, 12 этажей, 2026 г.п., потолки 3м., санузел совмещенный, Baizaman — символ единства времен. В переводе с казахского языка «бай» означает «богатый», а «заман» — «эпоха». Таким образом, Baizaman отражает преемственность поколений, соединяя традиции…",Е-15 5,36862800.0,Новостройка,монолитный дом,False,2026,3.0,54.21,2.0,11.0,12.0,Нура р-н,https://krisha.kz/a/show/762069029?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=7,51.128066004765,71.361882668395
2-комнатная квартира · 64.8 м²,"жил. комплекс Respublika, 22 этажа, 2026 г.п., потолки 3м., санузел совмещенный, Первая очередь блоки А и В сданы в эксплуатацию!Жилой комплекс Resbublika в Астане – это грандиозный проект в рамках освоен…",Е-36 5,36676800.0,Новостройка,монолитный дом,False,2026,3.0,64.8,2.0,10.0,22.0,Нура р-н,https://krisha.kz/a/show/691048362?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=8,51.128204596981,71.38541221575
2-комнатная квартира · 68 м²,"жил. комплекс Park City Forum, 18 этажей, 2025 г.п., потолки 3м., санузел совмещенный, ЖК Park City Forum создан для тех, кто ценит комфорт, безопасность и современный уровень жизни. Преимущества",,39440000.0,Новостройка,монолитный дом,False,2025,3.0,68.0,2.0,16.0,18.0,Нура р-н,https://krisha.kz/a/show/1008135378?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=9,51.131434316719,71.358380589066
1-комнатная квартира · 41.25 м²,"жил. комплекс Isma, 9 этажей, 2025 г.п., потолки 3.2м., санузел совмещенный, Жилой комплекс ISMA в Астане – это яркий пример того, насколько удобным, стильным и качественными может быть бизнес-класс. Максимальный уровень комфортна, все необходимое внутри ЖК…",Шамши Калдаяков 16,28462500.0,Новостройка,монолитный дом,False,2025,3.2,41.25,1.0,13.0,9.0,Сарайшык р-н,https://krisha.kz/a/show/699607414?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=10,51.11432205197,71.479193449555
4-комнатная квартира · 140.81 м²,"жил. комплекс GreenLine. Verda, 12 этажей, 2026 г.п., потолки 3м., санузел 2 с/у и более, Verda – это воплощение чистоты, благополучия и жизни, наши дома преображаются так же, отражая энергию растущег…",Е-899 5/1,112929620.0,Новостройка,кирпичный дом,False,2026,3.0,140.81,4.0,13.0,12.0,Нура р-н,https://krisha.kz/a/show/760697985?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=11,51.136697188562,71.387929890809
3-комнатная квартира · 106.1 м²,"жил. комплекс Isma, 9 этажей, 2025 г.п., потолки 3.2м., санузел 2 с/у и более, Жилой комплекс ISMA в Астане – это яркий пример того, насколько удобным, стильным и качественными может быть бизнес-класс. Максимальный уровень комфортна, все необходимое внутри ЖК…",Шамши Калдаяков 16,63660000.0,Новостройка,монолитный дом,False,2025,3.2,106.1,3.0,13.0,9.0,Сарайшык р-н,https://krisha.kz/a/show/760981873?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=12,51.114348710935,71.479483045406
1-комнатная квартира · 37.6 м²,"жил. комплекс KHAN RESIDENCE, 16 этажей, 2024 г.п., потолки 2.8м., санузел совмещенный, Жилой комплекс состоит из 2 очередей. 1 очередь достроилась в 1 квартале 2024 года. Сейчас строится 2 очередь - срок сдачи декабрь 2025 года",Н. Тлендиева 52,11844000.0,Новостройка,монолитный дом,False,2024,2.8,37.6,1.0,16.0,16.0,Сарыарка р-н,https://krisha.kz/a/show/682522512?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=13,51.19451002494,71.323633192806
3-комнатная квартира · 80 м² · 11/12 этаж,"жил. комплекс Sat City, монолитный дом, 2020 г.п., потолки 3м., Продается просторная 3-комнатная квартира в элитном ЖК “SAT CITY” – Астана 🌟 📍 Престижный и перспективный район столицы 🏢 Дом комфорт-класса с премиальной отделкой фасадов 🔑 Квартира с современным ремонтом, частично меблирована 🛏 Комн…",Санжара Асфендиярова 6,63000000.0,Риелтор,монолитный дом,False,2020,3.0,80.0,3.0,12.0,11.0,Нура р-н,https://krisha.kz/a/show/1006607763?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=14,51.13373966791,71.377996915314
3-комнатная квартира · 129.54 м²,"жил. комплекс Nexpo Aura, 22 этажа, 2026 г.п., потолки 3м., санузел 2 с/у и более, Жить с уверенностью, вдохновением и комфортом — это о Nexpo Aura. Пространство, где современные ритмы города гармонично сочетаются с уединением. Здесь вы окружены людьми, которые ценят стиль, кач…",ул. Мангилик Ел 57,125912880.0,Новостройка,монолитный дом,False,2026,3.0,129.54,3.0,15.0,22.0,Есильский р-н,https://krisha.kz/a/show/1000673584?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=15,51.088864764786,71.423273419468
2-комнатная квартира · 48.79 м²,"жил. комплекс TULGA, 9 этажей, 2026 г.п., потолки 3м., санузел совмещенный, TULGA - это о жизни с настоящим комфортом, где динамика города гармонично переплетается с тишиной и уютом. Здесь живут те, кто выбирает качество, заботу о себе и осознанный подход…",Шафика Чокина 4,36810797.0,Новостройка,кирпичный дом,False,2026,3.0,48.79,2.0,9.0,9.0,Нура р-н,https://krisha.kz/a/show/1002708571?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=17,51.120509870163,71.375572320703
2-комнатная квартира · 38.5 м² · 7/17 этаж,"жил. комплекс MOD Comfort - 2, монолитный дом, 2024 г.п., потолки 2.7м., ГОРЯЧЕЕ ПРЕДЛОЖЕНИЕ🔥🔥🔥 🏙 Продаётся уютная 1-комнатная квартира в ЖК Mod Comfort (BI Group) 📍 Район: УДП 🏢 Этаж: 7 из 17 📏 Площадь: 38, 5 м² 🚗 Закрытый двор + паркинг 🏗 Застройщик: BI Group — надёжная строительная компани…",Рыскулбекова 16/2,31000000.0,Риелтор,монолитный дом,False,2024,2.7,38.5,2.0,17.0,7.0,Есильский р-н,https://krisha.kz/a/show/1008832398?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=18,51.080853960577,71.430900253277
2-комнатная квартира · 62.64 м²,"жил. комплекс Auez, 16 этажей, 2026 г.п., потолки 3м., санузел совмещенный, Äuez — жилой комплекс, который воплощает идею слияния современной комфортной жизни и богатого культурного наследия Казахстана. Это место, где музыка и архитектура переплетаются, создавая уникальную симфонию…",Сагадат Нурмагамбетов 17,42532560.0,Новостройка,монолитный дом,False,2026,3.0,62.64,2.0,12.0,16.0,Сарайшык р-н,https://krisha.kz/a/show/698215350?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=19,51.113877909608,71.481329798644
2-комнатная квартира · 67 м² · 1/7 этаж,"жил. комплекс Саранда, монолитный дом, 2015 г.п., состояние: не новый, но аккуратный ремонт, потолки 3.1м., санузел совмещенный, телефон: есть возможность подключения, интернет ADSL, меблирована частично, Пластиковые окна, улучшенная, комнаты изолированы. Двухкомнатная квартира в одном из лучших ра…",Аль-фараби 8,34500000.0,Риелтор,монолитный дом,False,2015,3.1,67.0,2.0,7.0,1.0,Есильский р-н,https://krisha.kz/a/show/1007301149?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=20,51.101705,71.454432
2-комнатная квартира · 75.31 м²,"жил. комплекс Capital Park. Art, 16 этажей, 2026 г.п., потолки 3м., санузел совмещенный, Capital Park Art — это не просто место, где вы живёте — это пространство, где рождается вдохновение. Здесь парк дарит покой, а город наполняет энергией. Это выбор тех, кто ценит баланс: меж…",Аль-Фараби 3/2,67854310.0,Новостройка,монолитный дом,False,2026,3.0,75.31,2.0,13.0,16.0,Есильский р-н,https://krisha.kz/a/show/1004370013?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=21,51.102519937891,71.450931397467
2-комнатная квартира · 61.24 м²,"жил. комплекс Sardar Compass, 17 этажей, 2025 г.п., потолки 3м., санузел совмещенный, Sardar Compass — не просто дом. Это пространство, в которое хочется вписать свою историю.Преимущества:",,31844800.0,Новостройка,кирпичный дом,False,2025,3.0,61.24,2.0,10.0,17.0,Сарайшык р-н,https://krisha.kz/a/show/1000482552?srchid=019bfd61-b065-70da-a6c1-9399ef9eb35c&srchtype=filter&srchpos=22,51.106052945073,71.531496161847
