ceiling_height,area,room_count,floor_count,floor ,distance_to_center,owner_enc,district_Есильский р-н,district_Нура р-н,district_Сарайшык р-н,district_Сарыарка р-н,district_р-н Байконур,house_type_монолитный дом,house_type_панельный дом,year_category,price_per_m2
3.0,70.38,2.0,11.0,17.0,5.483315845055987,0,1,0,0,0,0,1,0,7,1043000.0000000001
3.0,65.97,2.0,13.0,16.0,2.9460969911778054,0,0,1,0,0,0,1,0,7,874000.0
2.65,48.02,2.0,13.0,17.0,5.654245072440196,0,0,1,0,0,0,1,0,7,768000.0
3.0,87.0,3.0,10.0,6.0,1.5816105082084806,0,1,0,0,0,0,1,0,6,551724.1379310344
3.0,98.97,3.0,10.0,17.0,7.477590036522256,0,0,0,1,0,0,0,0,7,460000.0
3.0,116.8,4.0,11.0,12.0,4.651642201210934,0,0,1,0,0,0,1,0,7,605000.0
3.0,73.0,3.0,14.0,12.0,3.899620363498144,0,0,0,0,0,0,1,0,7,623287.6712328767
3.0,54.21,2.0,11.0,12.0,4.781465691896186,0,0,1,0,0,0,1,0,7,680000.0
3.0,64.8,2.0,10.0,22.0,3.139428620048779,0,0,1,0,0,0,1,0,7,566000.0
3.0,68.0,2.0,16.0,18.0,5.037670020955237,0,0,1,0,0,0,1,0,7,580000.0
3.2,41.25,1.0,13.0,9.0,3.7434177118723317,0,0,0,1,0,0,1,0,7,690000.0
3.0,140.81,4.0,13.0,12.0,3.1070649092430376,0,0,1,0,0,0,0,0,7,802000.0
3.2,106.1,3.0,13.0,9.0,3.7605898765307386,0,0,0,1,0,0,1,0,7,600000.0
3.0,80.0,3.0,12.0,11.0,3.706347012289348,0,0,1,0,0,0,1,0,7,787500.0
3.0,129.54,3.0,15.0,22.0,4.4131332039802995,0,1,0,0,0,0,1,0,7,972000.0000000001
3.0,48.79,2.0,9.0,9.0,3.923216143371564,0,0,1,0,0,0,0,0,7,754474.2160278746
2.7,38.5,2.0,17.0,7.0,5.275874487685052,0,1,0,0,0,0,1,0,7,805194.8051948051
3.0,62.64,2.0,12.0,16.0,3.899620363498144,0,0,0,1,0,0,1,0,7,679000.0
3.1,67.0,2.0,7.0,1.0,3.3998942380485206,0,1,0,0,0,0,1,0,6,514925.37313432834
3.0,75.31,2.0,13.0,16.0,3.204901627458719,0,1,0,0,0,0,1,0,7,901000.0
3.0,61.24,2.0,10.0,17.0,7.477590036522256,0,0,0,1,0,0,0,0,7,520000.0
3.0,74.9,2.0,13.0,16.0,3.204901627458719,0,1,0,0,0,0,1,0,7,808999.9999999999
3.0,63.31,2.0,12.0,16.0,3.899620363498144,0,0,0,1,0,0,1,0,7,710000.0
3.0,95.65,3.0,11.0,17.0,5.483315845055987,0,1,0,0,0,0,1,0,7,830000.0
3.0,149.83,4.0,13.0,16.0,3.204901627458719,0,1,0,0,0,0,1,0,7,889999.9999999999
3.0,51.17,2.0,16.0,21.0,3.5115532740308706,0,0,1,0,0,0,1,0,7,978000.0
3.0,69.4,2.0,18.0,14.0,1.9333609120332822,0,1,0,0,0,0,1,0,7,720461.0951008645
3.2,119.69,3.0,13.0,9.0,3.7429110733598883,0,0,0,1,0,0,1,0,7,590000.0
3.0,45.1,2.0,12.0,9.0,2.56352090863832,0,0,1,0,0,0,1,0,7,997782.7050997782
3.0,89.11,2.0,15.0,22.0,4.4131332039802995,0,1,0,0,0,0,1,0,7,1068000.0
2.7,144.2,4.0,15.0,13.0,3.7359724633335767,0,0,0,0,0,1,1,0,6,409153.9528432733
3.0,96.88,3.0,11.0,17.0,5.483315845055987,0,1,0,0,0,0,1,0,7,869000.0
3.0,85.7,3.0,16.0,18.0,5.037670020955237,0,0,1,0,0,0,1,0,7,540000.0
3.0,42.0,2.0,12.0,11.0,4.631521588102492,0,0,0,1,0,0,1,0,7,807142.8571428572
3.0,147.0,3.0,12.0,8.0,0.41802871508133127,0,1,0,0,0,0,0,0,6,557823.1292517007
2.8,55.0,2.0,9.0,7.0,3.404902375706206,0,0,0,0,0,0,1,0,6,627272.7272727273
3.0,127.9,3.0,12.0,7.0,4.957336276685849,0,0,0,1,0,0,1,0,6,605942.1422986708
3.3,40.66,1.0,7.0,6.0,3.826223828972887,0,1,0,0,0,0,0,0,7,890309.8868666996
3.0,63.0,2.0,9.0,8.0,4.811015089179962,0,0,1,0,0,0,1,0,7,555555.5555555555
